Series of Member Payment Dependent Notes,Maximum aggregate principal amount of Notes offered,Aggregate principal amount of Notes sold,Stated interest rate,Service Charge,Sale and Original Issue Date,Initial maturity,Final maturity,Amount of corresponding loan funded by Lending Club,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months
38752555,"$7,000","$7,000",15.59%,1.00%,"January 23, 2015","February 3, 2018","February 3, 2020",$0,RENT,"$1,625 / month",21.78%,n/a,320xx,N/a,N/a,N/a,n/a,N/a,665-669,0,06/1984,$0.00,7,1,23,18,"$16,784.00",1,52.90%,60,0
38762143,"$10,000","$10,000",11.44%,1.00%,"January 22, 2015","January 21, 2018","January 21, 2020",$0,RENT,"$5,000 / month",28.91%,3 years ,928xx,N/a,N/a,N/a,Sales,N/a,710-714,0,07/1993,$0.00,15,0,26,n/a,"$11,428.00",5,42.80%,45,0
38762271,"$13,450","$13,450",21.99%,1.00%,"January 27, 2015","February 4, 2020","February 4, 2020",$0,MORTGAGE,"$3,750 / month",28.93%,2 years ,152xx,N/a,N/a,N/a,parts specialist,N/a,660-664,0,01/2007,$0.00,16,2,25,9,"$7,230.00",0,32.70%,n/a,1
38762459,"$1,800","$1,800",11.44%,1.00%,"January 27, 2015","January 21, 2018","January 21, 2020",$0,MORTGAGE,$833 / month,20.65%,9 years ,304xx,N/a,N/a,N/a,Boss,N/a,735-739,0,12/1988,$0.00,15,2,27,23,"$1,956.00",0,14.00%,n/a,0
38772186,"$20,950","$20,950",20.99%,1.00%,"January 23, 2015","January 21, 2020","January 21, 2020",$0,MORTGAGE,"$11,667 / month",1.39%,10+ years ,925xx,N/a,N/a,N/a,Owner,N/a,660-664,0,03/1992,$0.00,4,3,17,13,"$3,976.00",0,84.60%,n/a,1
38772354,"$24,375","$24,375",19.99%,1.00%,"January 22, 2015","January 21, 2020","January 21, 2020",$0,RENT,"$4,842 / month",38.83%,4 years ,070xx,N/a,N/a,N/a,Director,N/a,695-699,0,08/1999,$0.00,20,0,33,49,"$23,027.00",0,55.10%,n/a,0
38772378,"$25,000","$25,000",17.14%,1.00%,"January 23, 2015","February 3, 2020","February 3, 2020",$0,MORTGAGE,"$6,833 / month",11.55%,10+ years ,933xx,N/a,N/a,N/a,supervisor ,N/a,660-664,0,05/2002,$0.00,15,3,32,13,"$28,858.00",0,80.60%,n/a,2
38772535,"$24,000","$24,000",9.49%,1.00%,"January 22, 2015","January 30, 2018","January 30, 2020",$0,RENT,"$7,500 / month",3.82%,4 years ,334xx,N/a,N/a,N/a,Controller,N/a,710-714,0,06/2010,$0.00,10,0,10,n/a,"$9,246.00",0,33.70%,n/a,0
38772577,"$11,000","$11,000",11.99%,1.00%,"January 21, 2015","January 22, 2018","January 22, 2020",$0,RENT,"$5,833 / month",21.33%,3 years ,100xx,N/a,N/a,N/a,Bar manager,N/a,680-684,0,11/1996,$0.00,11,1,21,18,"$14,675.00",0,67.60%,n/a,1
38792117,"$21,000","$21,000",8.67%,1.00%,"January 21, 2015","January 30, 2018","January 30, 2020",$0,OWN,"$6,333 / month",23.86%,5 years ,652xx,N/a,N/a,N/a,Steel Gang Foreman,N/a,725-729,0,10/1992,$0.00,8,0,25,n/a,"$11,943.00",0,34.70%,n/a,1
38792337,"$2,500","$2,500",17.14%,1.00%,"January 22, 2015","January 21, 2018","January 21, 2020",$0,RENT,"$2,667 / month",19.95%,< 1 year ,913xx,N/a,N/a,N/a,Account Executive,N/a,670-674,0,08/2011,$0.00,7,0,7,n/a,"$2,892.00",0,20.10%,n/a,2
38792434,"$15,000","$15,000",11.99%,1.00%,"January 26, 2015","February 3, 2018","February 3, 2020",$0,MORTGAGE,"$6,250 / month",19.41%,10+ years ,468xx,N/a,N/a,N/a,Registered Nurse,N/a,705-709,0,05/1978,$0.00,31,0,55,42,"$19,587.00",0,21.50%,n/a,1
38792513,"$35,000","$35,000",10.49%,1.00%,"January 21, 2015","January 22, 2018","January 22, 2020",$0,MORTGAGE,"$24,167 / month",18.12%,10+ years ,242xx,N/a,N/a,N/a,Attorney,N/a,700-704,0,10/1990,$0.00,17,0,38,47,"$48,975.00",0,100.60%,n/a,1
38802328,"$22,400","$22,400",22.99%,1.00%,"January 26, 2015","January 21, 2018","January 21, 2020",$0,OWN,"$3,733 / month",21.89%,10+ years ,920xx,N/a,N/a,N/a,Attorney,N/a,660-664,0,08/1992,$0.00,9,1,20,3,"$10,324.00",0,66.50%,n/a,1
38802330,"$5,850","$5,850",10.49%,1.00%,"January 23, 2015","January 21, 2018","January 21, 2020",$0,RENT,"$2,500 / month",10.64%,n/a,907xx,N/a,N/a,N/a,n/a,N/a,665-669,0,01/2006,$0.00,6,0,7,n/a,"$7,775.00",1,63.70%,108,0
