Date,Series of Member Payment Dependent Notes,Maximum aggregate principal amount offered,Stated interest rate,Service Charge,Initial maturity,Final maturity,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months,Months Since Last Major Derogatory
"February 6, 2015",40361860,"$6,000",6.68%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$2,500 / month",1.00%,10+ years ,189xx,N/a,N/a,N/a,printer,N/a,800-804,0,06/2003,$0.00,4,0,6,n/a,$561.00,0,1.20%,n/a,0,n/a
"February 6, 2015",40363051,"$21,000",9.49%,1.00%,Five years after issuance,Five years after issuance,OWN,"$15,417 / month",3.42%,10+ years ,913xx,N/a,N/a,N/a,news reporter,N/a,670-674,0,11/1997,$0.00,10,0,39,68,"$21,840.00",0,84.00%,n/a,1,n/a
"February 6, 2015",40363157,"$28,000",6.49%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$7,500 / month",23.01%,10+ years ,329xx,N/a,N/a,N/a,Engineer,N/a,735-739,0,11/1999,$0.00,9,0,33,n/a,"$36,506.00",0,88.20%,n/a,0,n/a
"February 6, 2015",40363171,"$16,950",6.99%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$7,083 / month",30.82%,1 year ,331xx,N/a,N/a,N/a,Dir of Engineering,N/a,715-719,0,10/2002,$0.00,19,0,40,29,"$30,539.00",0,53.30%,n/a,0,29
"February 6, 2015",40370770,"$25,000",6.99%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$11,250 / month",19.95%,10+ years ,913xx,N/a,N/a,N/a,Manager,N/a,705-709,0,10/1987,$0.00,17,0,26,n/a,"$24,228.00",0,73.40%,n/a,1,n/a
"February 6, 2015",40371649,"$7,200",6.99%,1.00%,Three years after issuance,Five years after issuance,RENT,"$5,417 / month",4.73%,8 years ,914xx,N/a,N/a,N/a,Art Director,N/a,675-679,0,10/2004,$0.00,10,0,18,72,"$10,872.00",0,52.80%,n/a,0,n/a
"February 6, 2015",40372049,"$16,800",7.49%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$5,417 / month",16.30%,7 years ,760xx,N/a,N/a,N/a,counselor,N/a,700-704,0,05/1989,$0.00,15,1,33,11,"$23,313.00",0,37.30%,n/a,1,75
"February 6, 2015",40372505,"$28,000",10.49%,1.00%,Five years after issuance,Five years after issuance,MORTGAGE,"$5,833 / month",24.96%,1 year ,665xx,N/a,N/a,N/a,Production manager,N/a,710-714,0,10/1997,$0.00,13,0,22,n/a,"$40,111.00",0,48.80%,n/a,0,n/a
"February 6, 2015",40372653,"$24,000",12.39%,1.00%,Five years after issuance,Five years after issuance,RENT,"$4,833 / month",29.22%,< 1 year ,920xx,N/a,N/a,N/a,Senior Consultant,N/a,680-684,0,06/1996,$0.00,5,1,19,21,"$12,881.00",0,99.10%,n/a,0,21
"February 6, 2015",40372877,"$35,000",12.39%,1.00%,Five years after issuance,Five years after issuance,MORTGAGE,"$8,792 / month",17.13%,10+ years ,334xx,N/a,N/a,N/a,Mtg Operations Mgr. 1,N/a,760-764,0,03/1992,$0.00,43,1,79,8,"$20,526.00",0,7.70%,n/a,2,n/a
