Series of Member Payment Dependent Notes,Maximum aggregate principal amount of Notes offered,Aggregate principal amount of Notes sold,Stated interest rate,Service Charge,Sale and Original Issue Date,Initial maturity,Final maturity,Amount of corresponding loan funded by Lending Club,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months
40471047,"$8,000","$8,000",7.49%,1.00%,"February 2, 2015","February 11, 2018","February 11, 2020",$0,MORTGAGE,"$3,333 / month",12.90%,< 1 year ,236xx,N/a,N/a,N/a,Teacher,N/a,685-689,0,01/1996,$0.00,10,0,22,n/a,"$5,122.00",0,38.20%,n/a,1
40471053,"$12,000","$12,000",9.49%,1.00%,"February 2, 2015","February 11, 2018","February 11, 2020",$0,MORTGAGE,"$5,833 / month",12.17%,10+ years ,450xx,N/a,N/a,N/a,Supervisor,N/a,660-664,0,12/2002,$0.00,9,0,30,78,"$11,744.00",1,72.50%,50,2
40471085,"$5,000","$5,000",6.03%,1.00%,"February 2, 2015","February 11, 2018","February 11, 2020",$0,MORTGAGE,"$6,500 / month",21.55%,10+ years ,197xx,N/a,N/a,N/a,Chemical Technician,N/a,690-694,0,05/2000,$0.00,10,0,19,n/a,"$23,022.00",0,70.20%,n/a,0
40471115,"$25,600","$25,600",14.31%,1.00%,"February 3, 2015","February 11, 2020","February 11, 2020",$0,RENT,"$5,750 / month",26.71%,n/a,222xx,N/a,N/a,N/a,n/a,N/a,700-704,0,08/2002,$0.00,9,1,13,12,"$29,991.00",0,72.80%,n/a,1
40471139,"$18,225","$18,225",18.54%,1.00%,"February 2, 2015","February 12, 2018","February 12, 2020",$0,RENT,"$3,625 / month",26.63%,10+ years ,432xx,N/a,N/a,N/a,bartender,N/a,710-714,0,02/2000,$0.00,27,0,47,n/a,"$12,770.00",2,21.50%,64,4
40471201,"$20,225","$20,225",25.80%,1.00%,"February 2, 2015","February 13, 2020","February 13, 2020",$0,OWN,"$4,968 / month",20.07%,9 years ,152xx,N/a,N/a,N/a,Business Analyst III,N/a,695-699,0,01/1995,$0.00,8,0,26,n/a,"$9,495.00",0,83.30%,n/a,1
40471207,"$30,000","$30,000",17.86%,1.00%,"February 2, 2015","February 12, 2020","February 12, 2020",$0,MORTGAGE,"$8,750 / month",17.05%,8 years ,125xx,N/a,N/a,N/a,police officer,N/a,675-679,0,10/2003,$0.00,12,0,23,n/a,"$17,836.00",0,75.60%,n/a,1
40471221,"$6,000","$6,000",11.99%,1.00%,"February 3, 2015","February 12, 2018","February 12, 2020",$0,RENT,"$7,500 / month",15.73%,4 years ,100xx,N/a,N/a,N/a,Owner/ Trainer,N/a,665-669,0,09/2001,$0.00,14,0,22,n/a,"$41,023.00",0,95.20%,n/a,1
40471226,"$8,000","$8,000",10.49%,1.00%,"February 2, 2015","February 12, 2018","February 12, 2020",$0,RENT,"$3,500 / month",21.74%,2 years ,300xx,N/a,N/a,N/a,Environmental Scientist,N/a,685-689,0,05/2000,$0.00,14,1,21,21,"$8,718.00",0,78.50%,n/a,0
40471232,"$6,000","$6,000",12.99%,1.00%,"February 2, 2015","February 12, 2018","February 12, 2020",$0,OWN,"$1,458 / month",6.38%,1 year ,779xx,N/a,N/a,N/a,Sales associate ,N/a,730-734,0,05/2003,$0.00,3,0,6,n/a,"$3,231.00",0,28.80%,n/a,0
