Date,Series of Member Payment Dependent Notes,Maximum aggregate principal amount offered,Stated interest rate,Service Charge,Initial maturity,Final maturity,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months,Months Since Last Major Derogatory
"January 7, 2015",38570637,"$3,875",8.19%,1.00%,Three years after issuance,Five years after issuance,RENT,"$2,500 / month",20.72%,< 1 year ,970xx,N/a,N/a,N/a,Office Clerk,N/a,680-684,0,05/2010,$0.00,8,1,9,14,"$3,877.00",0,57.90%,n/a,0,n/a
"January 7, 2015",38574811,"$3,500",14.31%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$3,417 / month",21.84%,< 1 year ,957xx,N/a,N/a,N/a,Personal Banker,N/a,665-669,0,06/2000,$0.00,7,0,25,43,"$4,362.00",0,48.50%,n/a,0,43
"January 7, 2015",38576784,"$7,575",17.14%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$2,917 / month",16.22%,2 years ,776xx,N/a,N/a,N/a,Manager,N/a,675-679,0,07/1989,$0.00,9,1,21,15,"$5,229.00",0,41.50%,n/a,0,27
"January 7, 2015",38578556,"$17,250",13.66%,1.00%,Five years after issuance,Five years after issuance,OWN,"$3,141 / month",16.89%,n/a,338xx,N/a,N/a,N/a,n/a,N/a,690-694,0,10/1971,$0.00,15,0,45,n/a,"$10,674.00",1,39.40%,61,0,n/a
"January 7, 2015",38580168,"$25,450",25.57%,1.00%,Five years after issuance,Five years after issuance,MORTGAGE,"$9,205 / month",18.57%,10+ years ,935xx,N/a,N/a,N/a,Facility Manager,N/a,680-684,0,11/1995,$0.00,17,0,51,37,"$21,219.00",0,81.30%,n/a,1,37
"January 7, 2015",38580374,"$24,975",14.31%,1.00%,Five years after issuance,Five years after issuance,MORTGAGE,"$4,167 / month",20.38%,10+ years ,371xx,N/a,N/a,N/a,Owner/operator,N/a,710-714,0,03/1997,$0.00,14,0,19,42,"$17,557.00",0,40.80%,n/a,0,n/a
"January 7, 2015",38580379,"$11,525",16.49%,1.00%,Five years after issuance,Five years after issuance,RENT,"$2,833 / month",26.66%,1 year ,337xx,N/a,N/a,N/a,Auto Transfusion Technician,N/a,675-679,0,01/2007,$0.00,8,0,14,n/a,"$10,428.00",0,52.90%,n/a,0,n/a
"January 7, 2015",38580396,"$2,000",14.31%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$8,750 / month",10.80%,10+ years ,605xx,N/a,N/a,N/a,Driver,N/a,665-669,0,07/1997,$0.00,7,0,21,76,"$1,398.00",1,11.90%,116,0,76
"January 7, 2015",38580398,"$25,000",20.99%,1.00%,Five years after issuance,Five years after issuance,MORTGAGE,"$6,208 / month",21.63%,10+ years ,358xx,N/a,N/a,N/a,manager,N/a,680-684,0,02/1999,$0.00,13,1,23,10,"$9,072.00",0,46.80%,n/a,0,44
"January 7, 2015",38580427,"$12,000",12.99%,1.00%,Three years after issuance,Five years after issuance,RENT,"$6,250 / month",28.80%,1 year ,064xx,N/a,N/a,N/a,Operations Manager,N/a,660-664,0,09/2004,$0.00,15,0,17,n/a,"$34,908.00",0,92.60%,n/a,2,n/a
