Series of Member Payment Dependent Notes,Maximum aggregate principal amount of Notes offered,Aggregate principal amount of Notes sold,Stated interest rate,Service Charge,Sale and Original Issue Date,Initial maturity,Final maturity,Amount of corresponding loan funded by Lending Club,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months
442791,"$19,000","$19,000",11.83%,1.00%,"September 23, 2009","September 29, 2012","September 29, 2013",$0,MORTGAGE,"$16,667 / month",10.93%,n/a,"BOCA RATON, FL",__,__,__,N/a,__,714-749,0,06/1990,$0.00,16,0,32,n/a,"$79,062.00",0,50.80%,n/a,0
442801,"$16,000","$16,000",13.92%,1.00%,"September 28, 2009","September 29, 2012","September 29, 2013",$0,MORTGAGE,"$6,417 / month",15.83%, 2 years 7 months,"RENO, NV",__,__,__,N/a,__,679-713,0,12/2003,$0.00,10,0,14,n/a,"$17,923.00",0,59.70%,n/a,0
442830,"$5,000","$5,000",16.35%,1.00%,"September 28, 2009","October 1, 2012","October 1, 2013",$0,RENT,"$3,166 / month",5.18%, 3 years 3 months,"RICHMOND HILL, NY",__,__,__,N/a,__,660-678,0,12/2005,$0.00,2,0,3,n/a,"$5,403.00",0,63.60%,n/a,1
442853,"$9,000","$9,000",14.26%,1.00%,"September 28, 2009","September 29, 2012","September 29, 2013",$0,RENT,"$3,750 / month",22.91%, 6 months,"LAKEWOOD, NJ",__,__,__,N/a,__,679-713,0,04/2000,$0.00,7,0,10,n/a,"$23,703.00",0,83.80%,n/a,0
442934,"$10,000","$10,000",17.39%,1.00%,"September 28, 2009","September 29, 2012","September 29, 2013",$0,MORTGAGE,"$16,667 / month",10.80%, 4 months,"Melville, NY",__,__,__,N/a,__,679-713,0,12/1996,$0.00,19,0,32,n/a,"$191,303.00",0,78.20%,n/a,5
442990,"$8,000","$8,000",11.83%,1.00%,"September 25, 2009","October 1, 2012","October 1, 2013",$0,OWN,"$6,333 / month",8.98%, 7 years 8 months,"SILVER SPRING, MD",__,__,__,N/a,__,714-749,0,07/1999,$0.00,4,0,5,n/a,$905.00,2,12.00%,36,0
443000,"$6,000","$6,000",13.22%,1.00%,"September 25, 2009","September 29, 2012","September 29, 2013",$0,RENT,"$4,947 / month",14.47%, 2 years 6 months,"Las Vegas, NV",__,__,__,N/a,__,679-713,0,12/1997,$0.00,5,0,18,n/a,"$6,891.00",0,59.80%,n/a,0
443126,"$13,750","$13,750",13.57%,1.00%,"September 25, 2009","September 29, 2012","September 29, 2013",$0,MORTGAGE,"$13,333 / month",9.43%, 3 months,"Los Angeles, CA",__,__,__,N/a,__,679-713,0,10/1993,$0.00,6,0,12,n/a,"$105,576.00",1,68.60%,93,0
443272,"$8,000","$8,000",18.09%,1.00%,"September 28, 2009","September 30, 2012","September 30, 2013",$0,RENT,"$3,730 / month",13.81%, 2 years 6 months,"Shirley, NY",__,__,__,N/a,__,660-678,0,02/1996,$0.00,26,2,63,4,"$8,704.00",0,16.10%,n/a,2
443275,"$2,000","$2,000",12.87%,1.00%,"September 23, 2009","September 30, 2012","September 30, 2013",$0,MORTGAGE,"$5,458 / month",4.03%, 1 year 1 month,"Danvers, MA",__,__,__,N/a,__,679-713,0,12/2000,$0.00,7,1,9,18,"$2,108.00",0,23.40%,n/a,5
443279,"$4,000","$4,000",7.74%,1.00%,"September 23, 2009","October 4, 2012","October 4, 2013",$0,RENT,"$5,780 / month",10.83%,5 years ,"BERKELEY, CA",__,__,__,N/a,__,750-779,0,12/2000,$0.00,6,0,17,n/a,"$2,976.00",0,38.60%,n/a,0
443292,"$15,850","$15,850",11.48%,1.00%,"September 28, 2009","September 30, 2012","September 30, 2013",$0,RENT,"$3,000 / month",22.47%, 4 months,"Greenwich, CT",__,__,__,N/a,__,714-749,0,09/1998,$0.00,9,0,12,n/a,"$19,796.00",0,30.10%,n/a,1
443305,"$15,000","$15,000",8.94%,1.00%,"September 24, 2009","October 1, 2012","October 1, 2013",$0,MORTGAGE,"$9,417 / month",6.24%,25 years ,"ALEXANDRIA, VA",__,__,__,N/a,__,780+,0,05/1988,$0.00,15,0,27,n/a,"$19,367.00",0,9.10%,n/a,0
443318,"$6,000","$6,000",13.92%,1.00%,"September 24, 2009","October 1, 2012","October 1, 2013",$0,MORTGAGE,"$8,000 / month",7.00%, 7 years 2 months,"PHILADELPHIA, PA",__,__,__,N/a,__,679-713,0,11/1991,$0.00,6,0,20,38,"$4,417.00",0,78.90%,n/a,0
443361,"$10,000","$10,000",11.14%,1.00%,"September 23, 2009","September 30, 2012","September 30, 2013",$0,RENT,"$2,500 / month",12.92%,3 years ,"GOLETA, CA",__,__,__,N/a,__,714-749,0,06/1997,$0.00,8,0,9,n/a,"$14,257.00",0,29.50%,n/a,0
443398,"$20,000","$20,000",12.53%,1.00%,"September 28, 2009","September 30, 2012","September 30, 2013",$0,RENT,"$7,083 / month",24.56%, 3 years 2 months,"Paramus, NJ",__,__,__,N/a,__,714-749,0,06/1996,$0.00,14,0,40,n/a,"$21,621.00",0,60.10%,n/a,1
443475,"$18,000","$18,000",12.18%,1.00%,"September 28, 2009","September 30, 2012","September 30, 2013",$0,RENT,"$9,167 / month",8.23%, 4 years 1 month,"San Francisco, CA",__,__,__,N/a,__,714-749,0,11/1994,$0.00,7,0,14,72,"$15,533.00",0,79.30%,n/a,1
443492,"$10,000","$10,000",8.59%,1.00%,"September 23, 2009","October 1, 2012","October 1, 2013",$0,MORTGAGE,"$4,333 / month",14.35%, 2 years 5 months,"Kirtland, NM",__,__,__,N/a,__,750-779,0,05/1990,$0.00,9,0,13,n/a,"$16,375.00",0,28.00%,n/a,1
443503,"$20,000","$20,000",11.83%,1.00%,"September 23, 2009","September 30, 2012","September 30, 2013",$0,RENT,"$14,375 / month",13.22%,3 years ,"Boston, MA",__,__,__,N/a,__,714-749,0,10/1997,$0.00,17,0,21,n/a,"$10,767.00",0,50.30%,n/a,0
443526,"$12,000","$12,000",11.48%,1.00%,"September 24, 2009","October 1, 2012","October 1, 2013",$0,MORTGAGE,"$4,167 / month",12.41%,4 years ,"st augustine, FL",__,__,__,N/a,__,750-779,0,12/2002,$0.00,5,0,8,n/a,"$2,071.00",0,23.00%,n/a,4
443553,"$8,000","$8,000",12.53%,1.00%,"September 25, 2009","October 3, 2012","October 3, 2013",$0,MORTGAGE,"$4,000 / month",4.97%,4 years ,"Jacksonville, FL",__,__,__,N/a,__,750-779,0,09/1997,$0.00,5,0,8,n/a,"$2,958.00",0,7.60%,n/a,7
443627,"$15,000","$15,000",11.48%,1.00%,"September 28, 2009","October 1, 2012","October 1, 2013",$0,RENT,"$6,042 / month",23.90%, 1 year 2 months,"glendale, CA",__,__,__,N/a,__,714-749,0,05/1996,$0.00,15,0,24,n/a,"$38,876.00",0,59.60%,n/a,2
443638,"$5,600","$5,600",8.59%,1.00%,"September 23, 2009","October 1, 2012","October 1, 2013",$0,MORTGAGE,"$3,250 / month",8.34%, 5 years 6 months,"maple shade, NJ",__,__,__,N/a,__,714-749,0,04/2002,$0.00,9,0,14,n/a,"$2,639.00",0,24.00%,n/a,1
443735,"$10,000","$10,000",8.59%,1.00%,"September 23, 2009","October 1, 2012","October 1, 2013",$0,RENT,"$5,000 / month",3.78%, 4 years 4 months,"San Francisco, CA",__,__,__,N/a,__,750-779,0,06/2000,$0.00,8,0,15,n/a,"$3,252.00",0,13.70%,n/a,0
443736,"$3,500","$3,500",12.18%,1.00%,"September 28, 2009","October 1, 2012","October 1, 2013",$0,OWN,"$9,958 / month",13.42%, 31 years 2 months,"Baytown, TX",__,__,__,N/a,__,679-713,0,05/1985,$0.00,17,0,43,n/a,"$25,873.00",1,63.90%,103,2
443770,"$2,800","$2,800",12.18%,1.00%,"September 28, 2009","October 1, 2012","October 1, 2013",$0,MORTGAGE,"$7,917 / month",16.96%, 7 years 10 months,"Las Vegas, NV",__,__,__,N/a,__,679-713,0,06/1987,$0.00,15,0,60,n/a,"$40,868.00",0,86.60%,n/a,3
443796,"$16,500","$16,500",12.18%,1.00%,"September 24, 2009","October 1, 2012","October 1, 2013",$0,OWN,"$6,250 / month",16.06%, 8 years 6 months,"boston, MA",__,__,__,N/a,__,714-749,0,11/1995,$0.00,7,0,23,28,"$43,373.00",0,66.90%,n/a,0
443826,"$2,100","$2,100",11.48%,1.00%,"September 25, 2009","October 1, 2012","October 1, 2013",$0,RENT,"$3,750 / month",18.24%, 3 months,"Fort Worth, TX",__,__,__,N/a,__,714-749,0,09/2004,$0.00,4,0,16,n/a,"$6,554.00",0,55.10%,n/a,2
